Year,Month,Date,ISO,ISO_Name,Region,Demand_MWh,Total_Generation_MWh,Generation_Coal_MWh,Generation_Natural_Gas_MWh,Generation_Nuclear_MWh,Generation_Wind_MWh,Generation_Solar_MWh,Generation_Hydro_MWh,Generation_Biomass_MWh,Generation_Other_MWh,Mix_Coal_%,Mix_Natural_Gas_%,Mix_Nuclear_%,Mix_Wind_%,Mix_Solar_%,Mix_Hydro_%,Mix_Biomass_%,Mix_Other_%
2016,1,2016-01-01,CAISO,California ISO,Western,54711899.08,53345922.88,17066583.92,14754185.79,5880081.94,4714210.82,1221464.67,8075797.4,1139557.44,494040.91,31.99,27.66,11.02,8.84,2.29,15.14,2.14,0.93
2016,1,2016-01-01,ERCOT,ERCOT (Texas),South,77565154.45,72913165.49,28122804.05,18755682.84,10260480.16,11035440.52,870546.8,1535337.4,1636163.11,696710.61,38.57,25.72,14.07,15.14,1.19,2.11,2.24,0.96
2016,1,2016-01-01,MISO,Midcontinent ISO,Midwest,176735413.17,161009403.39,63335650.97,38583153.74,23571746.47,13194126.33,1723423.1,15028839.06,3544818.68,2027645.04,39.34,23.96,14.64,8.19,1.07,9.33,2.2,1.26
2016,1,2016-01-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,171751533.64,193596449.03,54101973.46,46171097.98,54791135.03,15290252.06,1836115.92,16367053.71,3570781.09,1468039.77,27.95,23.85,28.3,7.9,0.95,8.45,1.84,0.76
2016,1,2016-01-01,SPP,Southwest Power Pool,South-Central,133039248.48,121523603.02,49919472.2,29369290.97,15192646.21,18205056.55,2391193.22,2268232.47,2896859.04,1280852.36,41.08,24.17,12.5,14.98,1.97,1.87,2.38,1.05
2016,1,2016-01-01,WECC,Western Electricity Coordinating Council,Western,179280760.54,182391891.13,65134926.78,48912204.94,20728429.86,12962060.35,3231407.31,26313101.08,3495529.69,1614231.14,35.71,26.82,11.36,7.11,1.77,14.43,1.92,0.89
2016,1,2016-01-01,NY_ISO,New York ISO,Northeast,34070718.46,36561583.71,12723499.57,8914302.22,4699508.15,2544917.85,381537.48,6235637.49,712440.73,349740.22,34.8,24.38,12.85,6.96,1.04,17.06,1.95,0.96
2016,1,2016-01-01,ISO_NE,ISO New England,Northeast,30909011.34,33460932.0,10064992.49,6908848.09,9968157.26,2533868.48,311539.76,2715317.18,649500.82,308707.93,30.08,20.65,29.79,7.57,0.93,8.11,1.94,0.92
2016,2,2016-02-01,CAISO,California ISO,Western,39163621.33,42219043.55,15220564.52,10708714.93,4447098.19,3521653.25,697596.65,6483870.79,726366.87,413178.35,36.05,25.36,10.53,8.34,1.65,15.36,1.72,0.98
2016,2,2016-02-01,ERCOT,ERCOT (Texas),South,50006979.06,45774521.48,16894080.8,12992315.53,6397862.8,6488682.0,561997.34,866671.09,1004394.38,568517.54,36.91,28.38,13.98,14.18,1.23,1.89,2.19,1.24
